ts_week,KOSPI,ln_KOSPI,D_ln_KOSPI
1990w24,778.15333,6.6569236,-0.03517256
1990w25,747.41667,6.6166228,-0.04030077
1990w26,729.27667,6.5920532,-0.02456964
1990w27,724.36667,6.5852977,-0.00675547
1990w28,704.15167,6.5569938,-0.02830394
1990w29,691.158,6.5383685,-0.01862532
1990w30,679.175,6.5208788,-0.01748963
1990w31,680.07667,6.5222055,0.00132671
1990w32,654.515,6.4838945,-0.03831103
1990w33,631.032,6.4473566,-0.03653793
1990w34,604.03167,6.4036266,-0.04372995
1990w35,624.535,6.4370074,0.03338075
1990w36,622.44167,6.4336499,-0.00335746
1990w37,606.53,6.4077542,-0.02589572
1990w38,583.87,6.3696784,-0.03807584
1990w39,594.86667,6.3883373,0.01865894
1990w40,620.3,6.4302032,0.04186594
1990w41,623.16,6.4348033,0.00460008
1990w42,668.60833,6.5051984,0.07039513
1990w43,755.14167,6.6269054,0.12170693
1990w44,710.155,6.5654833,-0.06142211
1990w45,706.69,6.5605921,-0.00489116
1990w46,701.18,6.5527646,-0.00782747
1990w47,677.455,6.5183431,-0.0344215
1990w48,694.28833,6.5428873,0.02454421
1990w49,721.31167,6.5810713,0.03818397
1990w50,718.96167,6.577808,-0.00326327
1990w51,703.595,6.5562029,-0.02160513
1990w52,694.935,6.5438183,-0.01238459
1991w1,688.1175,6.5339596,-0.00985871
1991w2,647.445,6.4730338,-0.06092576
1991w3,641.12333,6.4632218,-0.009812
1991w4,632.54,6.4497435,-0.01347839
1991w5,634.86333,6.4534098,0.00366629
1991w6,631.93167,6.4487813,-0.00462849
1991w7,655.70333,6.4857085,0.03692718
1991w8,677.625,6.518594,0.03288559
1991w9,674.504,6.5139776,-0.00461643
1991w10,676.68667,6.5172083,0.00323073
1991w11,680.15167,6.5223158,0.00510747
1991w12,664.71,6.4993509,-0.02296496
1991w13,653.18,6.4818527,-0.01749811
1991w14,648.918,6.4753064,-0.00654638
1991w15,640.90333,6.4628786,-0.01242772
1991w16,626.39333,6.4399785,-0.02290014
1991w17,635.73833,6.4547871,0.01480855
1991w18,646.24833,6.4711838,0.01639679
1991w19,631.80833,6.4485861,-0.02259777
1991w20,634.645,6.4530658,0.00447971
1991w21,620.618,6.4307158,-0.02235003
1991w22,611.47,6.4158659,-0.01484986
1991w23,606.144,6.4071176,-0.00874831
1991w24,610.81833,6.4147996,0.00768201
1991w25,598.474,6.3943831,-0.02041651
1991w26,603.365,6.4025223,0.00813924
1991w27,610.00667,6.4134699,0.01094757
1991w28,625.63333,6.4387645,0.02529458
1991w29,649.94,6.4768801,0.03811558
1991w30,678.42,6.5197666,0.04288651
1991w31,734.30333,6.5989222,0.07915564
1991w32,735.94,6.6011486,0.00222639
1991w33,694.722,6.5435118,-0.05763683
1991w34,698.92167,6.5495387,0.00602691
1991w35,685.41667,6.5300269,-0.01951175
1991w36,680.01833,6.5221198,-0.00790717
1991w37,686.26833,6.5312687,0.00914895
1991w38,685.295,6.5298494,-0.00141931
1991w39,687.62333,6.5332412,0.0033918
1991w40,711.748,6.5677239,0.03448271
1991w41,707.77333,6.5621239,-0.00560002
1991w42,699.90667,6.550947,-0.0111769
1991w43,706.41833,6.5602076,0.00926061
1991w44,689.12167,6.5354178,-0.02478976
1991w45,678.655,6.5201129,-0.01530494
1991w46,670.66167,6.5082648,-0.01184811
1991w47,661.06833,6.4938572,-0.01440757
1991w48,652.51667,6.4808367,-0.01302053
1991w49,627.885,6.442357,-0.03847965
1991w50,641.30833,6.4635104,0.02115333
1991w51,606.375,6.4074986,-0.05601175
1991w52,610.755,6.4146959,0.00719729
1992w1,642.4775,6.4653318,0.0506359
1992w2,621.06167,6.4314304,-0.03390142
1992w3,619.43667,6.4288105,-0.00261992
1992w4,662.85833,6.4965613,0.06775083
1992w5,673.8225,6.5129667,0.01640543
1992w6,686.944,6.5322528,0.01928605
